,S,call,put
0,12000.0,5.125892944880872e-39,11872.122716078145
1,12096.385542168675,4.1081507281851423e-38,11775.73717390947
2,12192.77108433735,3.163363074901368e-37,11679.351631740796
3,12289.156626506025,2.3422523227054496e-36,11582.96608957212
4,12385.5421686747,1.6689635262588728e-35,11486.580547403446
5,12481.927710843374,1.145317418168948e-34,11390.195005234771
6,12578.313253012047,7.575287721829979e-34,11293.809463066098
7,12674.698795180722,4.832661923105485e-33,11197.423920897423
8,12771.084337349397,2.975768480974518e-32,11101.038378728748
9,12867.469879518072,1.769867176117756e-31,11004.652836560073
10,12963.855421686747,1.0174348096784225e-30,10908.267294391399
11,13060.240963855422,5.656983632029491e-30,10811.881752222724
12,13156.626506024097,3.044082378519804e-29,10715.496210054049
13,13253.012048192772,1.5863342681061206e-28,10619.110667885374
14,13349.397590361446,8.0106301647947045e-28,10522.725125716699
15,13445.783132530121,3.922225497000362e-27,10426.339583548024
16,13542.168674698794,1.863142885862061e-26,10329.954041379351
17,13638.55421686747,8.591225467895418e-26,10233.568499210676
18,13734.939759036144,3.8476985166867755e-25,10137.182957042001
19,13831.325301204819,1.6746332616917264e-24,10040.797414873326
20,13927.710843373494,7.086655147998197e-24,9944.411872704652
21,14024.096385542169,2.917363059089961e-23,9848.026330535977
22,14120.481927710844,1.1689249686795622e-22,9751.640788367302
23,14216.867469879518,4.560831324109308e-22,9655.255246198627
24,14313.253012048193,1.733691677405538e-21,9558.869704029952
25,14409.638554216868,6.423542776582808e-21,9462.484161861277
26,14506.024096385543,2.3208764078773578e-20,9366.098619692602
27,14602.409638554218,8.180865039579108e-20,9269.713077523927
28,14698.795180722893,2.81453744772729e-19,9173.327535355253
29,14795.180722891566,9.455008109614029e-19,9076.94199318658
30,14891.56626506024,3.1027456307360934e-18,8980.556451017905
31,14987.951807228916,9.95034445142951e-18,8884.17090884923
32,15084.33734939759,3.1196946849892186e-17,8787.785366680555
33,15180.722891566265,9.566182426377044e-17,8691.39982451188
34,15277.10843373494,2.870018288666181e-16,8595.014282343205
35,15373.493975903615,8.427783471919133e-16,8498.62874017453
36,15469.879518072288,2.4231736715371006e-15,8402.243198005857
37,15566.265060240963,6.824244184430564e-15,8305.857655837184
38,15662.650602409638,1.8831135138969736e-14,8209.472113668508
39,15759.036144578313,5.09331158084537e-14,8113.0865714998345
40,15855.421686746988,1.3507424775760765e-13,8016.701029331158
41,15951.807228915663,3.513477511255424e-13,7920.315487162483
42,16048.192771084337,8.966746762552001e-13,7823.929944993808
43,16144.578313253012,2.2459685806376902e-12,7727.544402825137
44,16240.963855421687,5.523045909295573e-12,7631.158860656462
45,16337.349397590362,1.333804848251822e-11,7534.7733184878
46,16433.734939759037,3.164276464936798e-11,7438.387776319138
47,16530.12048192771,7.376533436662723e-11,7342.002234150506
48,16626.506024096387,1.6902492965119504e-10,7245.61669198193
49,16722.89156626506,3.807957914213294e-10,7149.231149813462
50,16819.277108433736,8.437163539963698e-10,7052.845607645257
51,16915.66265060241,1.838998965698862e-09,6956.460065477571
52,17012.048192771086,3.94423434465551e-09,6860.0745233110065
53,17108.43373493976,8.326327718688913e-09,6763.688981146712
54,17204.819277108436,1.7304741298137355e-08,6667.303438987015
55,17301.20481927711,3.541659096794092e-08,6570.91789683645
56,17397.590361445786,7.139793674888893e-08,6474.532354703755
57,17493.975903614457,1.4181008766670378e-07,6378.146812605497
58,17590.36144578313,2.775713044202323e-07,6281.761270572588
59,17686.746987951807,5.3553712039152e-07,6185.375728661875
60,17783.13253012048,1.0187133208571441e-06,6088.990186976378
61,17879.518072289156,1.9109964610426267e-06,5992.604645699987
62,17975.90361445783,3.5359791546957318e-06,5896.219105156295
63,18072.289156626506,6.454999642787739e-06,5799.83356590664
64,18168.67469879518,1.1628205015000491e-05,5703.448028911171
65,18265.060240963856,2.0675249205802642e-05,5607.062495789538
66,18361.44578313253,3.629114213150918e-05,5510.67696923676
67,18457.831325301206,6.290006299232431e-05,5414.291453677004
68,18554.21686746988,0.00010766869120979253,5317.905956276958
69,18650.602409638555,0.00018205461228167075,5221.5204884941995
70,18746.98795180723,0.0003041392763319245,5125.135068410193
