,Greek,Quantum,AnalyticalBS,FiniteDifference,QuantumMinusBS
0,Delta,-0.44984326184584666,-0.448548450688547,-0.4485484954883153,-0.00129481115729968
1,Gamma,0.00031055087856777863,0.0003194332286760369,0.00031943313337655534,-8.88235010825829e-06
2,Vega,2695.416526105339,2722.0962040382065,2722.0961994589743,-26.679677932867435
3,Theta,-2223.343406975885,-2252.9174536866326,-2252.9549272599224,29.574046710747552
4,Rho,-921.2657747694948,-920.267089233134,-920.2670892591412,-0.9986855363607674
