,S,call_Delta,call_Gamma,call_Vega,call_Theta,call_Rho,put_Delta,put_Gamma,put_Vega,put_Theta,put_Rho
111,22698.795180722893,0.17084040912185278,0.0002167177893915733,1651.96586675138,-2054.165884997034,310.13267975250494,-0.8291595908781473,0.0002167177893915733,1651.96586675138,-502.47790845195436,-1651.9595982813153
112,22795.180722891568,0.192495140748215,0.00023254014839745613,1787.6599892122522,-2234.769440259899,350.6197075732133,-0.8075048592517851,0.00023254014839745613,1787.6599892122522,-683.0814637148198,-1611.4725704606067
113,22891.56626506024,0.21564864330638056,0.0002477779130817568,1920.9431106631243,-2415.093992168466,394.09224783015156,-0.7843513566936194,0.0002477779130817568,1920.9431106631243,-863.4060156233863,-1568.0000302036688
114,22987.951807228914,0.24023321905401396,0.00026219610381640634,2049.8764459414174,-2592.934395876914,440.4463910276861,-0.759766780945986,0.00026219610381640634,2049.8764459414174,-1041.2464193318347,-1521.645887006134
115,23084.33734939759,0.26615878490204187,0.00027556625517521953,2172.509851550521,-2766.038278414737,489.53423515310817,-0.7338412150979581,0.00027556625517521953,2172.509851550521,-1214.3503018696576,-1472.5580428807118
116,23180.722891566264,0.29331380242295707,0.0002876726588976653,2286.932958694621,-2932.1628670659948,541.1649449467458,-0.7066861975770429,0.0002876726588976653,2286.932958694621,-1380.474890520915,-1420.9273330870744
117,23277.10843373494,0.32156679803767296,0.00029831832653412016,2391.326567631107,-3089.1330241084925,595.1069747765181,-0.678433201962327,0.00029831832653412016,2391.326567631107,-1537.445047563413,-1366.985303257302
118,23373.493975903613,0.35076843485330395,0.00030733043575351793,2484.012301210974,-3234.8982593406818,651.0914092914629,-0.649231565146696,0.00030733043575351793,2484.012301210974,-1683.210282795602,-1311.0008687423572
119,23469.87951807229,0.38075407587404125,0.00031456504695179894,2563.498571839628,-3367.586518739243,708.8163320229927,-0.6192459241259587,0.00031456504695179894,2563.498571839628,-1815.8985421941634,-1253.2759460108273
120,23566.265060240963,0.41134675927440256,0.0003199109102311833,2628.5210723188893,-3485.5526869234345,767.9520919716554,-0.5886532407255974,0.0003199109102311833,2628.5210723188893,-1933.864710378355,-1194.140186062165
121,23662.650602409638,0.4423604910515279,0.00032329222494394746,2678.0762474144394,-3587.4199838201143,828.1473039847875,-0.557639508948472,0.00032329222494394746,2678.0762474144394,-2035.732007275035,-1133.9449740490325
122,23759.036144578313,0.47360374937750177,0.0003246702622321105,2711.4465242933607,-3672.1127666506673,889.0353920540825,-0.5263962506224982,0.0003246702622321105,2711.4465242933607,-2120.424790105588,-1073.0568859797377
