,p,H_real,H_imag,Hermitian_diag,AntiHermitian_imag_diag
0,-0.0,0.0,0.065,-0.0,0.065
1,-3.804272353956446,-0.18564849087307458,0.29945430791785255,-0.18564849087307458,0.29945430791785255
2,-7.608544707912892,-0.37129698174614917,1.0028172316714101,-0.37129698174614917,1.0028172316714101
3,-11.412817061869339,-0.5569454726192238,2.175088771260673,-0.5569454726192238,2.175088771260673
4,-15.217089415825784,-0.7425939634922983,3.8162689266856407,-0.7425939634922983,3.8162689266856407
5,-19.021361769782228,-0.9282424543653728,5.9263576979463135,-0.9282424543653728,5.9263576979463135
6,-22.825634123738677,-1.1138909452384476,8.50535508504269,-1.1138909452384476,8.50535508504269
7,-26.629906477695123,-1.299539436111522,11.553261087974775,-1.299539436111522,11.553261087974775
8,-30.43417883165157,-1.4851879269845967,15.070075706742562,-1.4851879269845967,15.070075706742562
9,-34.238451185608014,-1.6708364178576711,19.05579894134606,-1.6708364178576711,19.05579894134606
10,-38.042723539564456,-1.8564849087307456,23.510430791785254,-1.8564849087307456,23.510430791785254
11,-41.846995893520905,-2.0421333996038205,28.433971258060158,-2.0421333996038205,28.433971258060158
12,-45.651268247477354,-2.227781890476895,33.82642034017076,-2.227781890476895,33.82642034017076
13,-49.455540601433796,-2.4134303813499693,39.68777803811708,-2.4134303813499693,39.68777803811708
14,-53.259812955390245,-2.599078872223044,46.0180443518991,-2.599078872223044,46.0180443518991
15,-57.06408530934669,-2.7847273630961187,52.81721928151681,-2.7847273630961187,52.81721928151681
16,60.86835766330314,2.9703758539691933,60.08530282697025,2.9703758539691933,60.08530282697025
17,57.06408530934669,2.7847273630961187,52.81721928151681,2.7847273630961187,52.81721928151681
18,53.259812955390245,2.599078872223044,46.0180443518991,2.599078872223044,46.0180443518991
19,49.455540601433796,2.4134303813499693,39.68777803811708,2.4134303813499693,39.68777803811708
20,45.651268247477354,2.227781890476895,33.82642034017076,2.227781890476895,33.82642034017076
21,41.846995893520905,2.0421333996038205,28.433971258060158,2.0421333996038205,28.433971258060158
22,38.042723539564456,1.8564849087307456,23.510430791785254,1.8564849087307456,23.510430791785254
23,34.238451185608014,1.6708364178576711,19.05579894134606,1.6708364178576711,19.05579894134606
24,30.43417883165157,1.4851879269845967,15.070075706742562,1.4851879269845967,15.070075706742562
25,26.629906477695123,1.299539436111522,11.553261087974775,1.299539436111522,11.553261087974775
26,22.825634123738677,1.1138909452384476,8.50535508504269,1.1138909452384476,8.50535508504269
27,19.021361769782228,0.9282424543653728,5.9263576979463135,0.9282424543653728,5.9263576979463135
28,15.217089415825784,0.7425939634922983,3.8162689266856407,0.7425939634922983,3.8162689266856407
29,11.412817061869339,0.5569454726192238,2.175088771260673,0.5569454726192238,2.175088771260673
30,7.608544707912892,0.37129698174614917,1.0028172316714101,0.37129698174614917,1.0028172316714101
31,3.804272353956446,0.18564849087307458,0.29945430791785255,0.18564849087307458,0.29945430791785255
