,x,S,call_payoff,put_payoff,put_state_real
0,9.285809109330081,10783.895138813305,0.0,13216.104861186695,0.3848989340903052
1,9.337422012555887,11355.097176690091,0.0,12644.902823309909,0.3682635443262106
2,9.389034915781695,11956.554680136132,0.0,12043.445319863868,0.3507470101878601
3,9.4406478190075,12589.870222559939,0.0,11410.129777440061,0.3323026591644634
4,9.492260722233308,13256.731262579484,0.0,10743.268737420516,0.3128813465927328
5,9.543873625459113,13958.914640227164,0.0,10041.085359772836,0.29243132471175826
6,9.595486528684921,14698.29131131037,0.0,9301.70868868963,0.2708981047819634
7,9.647099431910727,15476.831332541606,0.0,8523.168667458394,0.24822431190078012
8,9.698712335136534,16296.60911072169,0.0,7703.390889278309,0.22434953212817915
9,9.75032523836234,17159.808929961586,0.0,6840.191070038414,0.1992101515147488
10,9.801938141588145,18068.730771670904,0.0,5931.269228329096,0.17273918660338983
11,9.853551044813953,19025.796442819625,0.0,4974.203557180375,0.14486610595302274
12,9.905163948039759,20033.556028801966,0.0,3966.443971198034,0.11551664220875116
13,9.956776851265566,21094.694688096286,0.0,2905.305311903714,0.08461259421773623
14,10.008389754491372,22212.039806824432,0.0,1787.9601931755678,0.05207161866354767
15,10.06000265771718,23388.56853227484,0.0,611.4314677251605,0.01780701066377235
16,10.111615560942985,24627.41570546113,627.4157054611314,0.0,0.0
17,10.163228464168792,25931.882213853634,1931.8822138536343,0.0,0.0
18,10.214841367394598,27305.443786538213,3305.4437865382133,0.0,0.0
19,10.266454270620406,28751.76025523837,4751.760255238369,0.0,0.0
20,10.318067173846211,30274.685305874962,6274.685305874962,0.0,0.0
21,10.369680077072019,31878.27674664798,7878.276746647982,0.0,0.0
22,10.421292980297824,33566.80731999787,9566.807319997868,0.0,0.0
23,10.47290588352363,35344.776087256316,11344.776087256316,0.0,0.0
24,10.524518786749438,37216.92041631939,13216.920416319394,0.0,0.0
25,10.576131689975243,39188.2286042845,15188.2286042845,0.0,0.0
26,10.62774459320105,41263.953168684595,17263.953168684595,0.0,0.0
27,10.679357496426856,43449.62484273229,19449.624842732293,0.0,0.0
28,10.730970399652664,45751.06731186618,21751.06731186618,0.0,0.0
29,10.78258330287847,48174.41273086214,24174.41273086214,0.0,0.0
30,10.834196206104277,50726.11806285732,26726.11806285732,0.0,0.0
31,10.885809109330083,53412.982283819234,29412.982283819234,0.0,0.0
